PC值    寄存器编号  待写入寄存器的值
00000000  08          00001000
00000004  09          00002000
00000008  10          00003000
0000000c  11          12340000
00000010  11          12345678
00000014  12          0000ffff
00000018  13          00005678
0000001c  14          11110000
00000020  15          00001111
00000024  24          11111111
00000028  25          10100000
0000002c  25          10101010
00000030  16          01010000
00000034  16          01010101
00000038  17          11111111
0000003c  18          0000000f
00000040  19          000000f0
00000044  20          ffffffff
00000048  21          00000001
0000004c  22          00000001
00000050  23          00000000
00000054  04          80000000
00000058  05          00000008
0000005c  06          00000008
00000060  02          12340000
00000064  02          12345678
00000068  03          00000078
0000006c  07          00000064
00000070  08          00001234
00000074  09          00001234
00000088  10          00001234
0000008c  11          00005678
000000a0  12          00000000
000000b4  12          ffffffff
000000c8  29          80010000
000000cc  08          dead0000
000000d0  08          deadbeef
000000d8  09          deadbeef
000000dc  10          00000080
000000e4  11          ffffff80
000000e8  00          00000000
